,Code,Description
447,10472,"Carrabassett, ME: Sugarloaf Regional"
448,10473,"Bialla, Papua New Guinea: Bialla Airport"
449,10474,"Marysville, CA: Beale AFB"
450,10475,"Barranca de Upia, Colombia: Barranca de Upia Airport"
451,10476,"Shreveport, LA: Barksdale AFB"
452,10477,"Barcelonnette, France: Barcelonnette Airport"
453,10478,"Westfield, MA: Westfield Barnes Regional"
454,10479,"Baguio, Philippines: Baguio Airport"
455,10480,"Manama, Bahrain: Bahrain International"
456,10481,"Buenos Aires, Costa Rica: Buenos Aires Airport"
457,10482,"Baku, Azerbaijan: Heydar Aliyev International"
458,10483,"Batman, Turkey: Batman Airport"
459,10484,"Battle Mountain, NV: Battle Mountain Airport"
460,10485,"Ban Mak Khaeng, Thailand: Udorn AB"
461,10486,"Barranquilla, Colombia: Ernesto Cortissoz"
462,10487,"Baker Island, AK: Baker AAF"
463,10488,"Barth, East Germany: Barth Airport"
464,10489,"Bauru, Brazil: Bauru-Arealva"
465,10490,"Baotou, China: Baotou Airport"
466,10491,"Barnaul, Russia: Mikhaylovka"
467,10492,"Baia Mare, Romania: Baia Mare Airport"
468,10493,"Balmaceda, Chile: Balmaceda Airport"
469,10494,"Bay City, TX: Bay City Regional"
470,10495,"Burlington, MA: N Eng Heliport"
471,10497,"Bhubaneswar, India: Bhubaneswar Airport"
472,10498,"Berbera, Somalia: Berbera International"
473,10499,"Barbuda, Antigua and Barbuda: Cocoa Point"
474,10500,"Basse Terre, Guadeloupe: Baillif"
475,10501,"Blackbushe, United Kingdom: Blackbushe Airport"
476,10502,"Berberati, Central African Republic: Berberati Airport"
477,10503,"Bucharest, Romania: Baneasa Aurel Vlaicu"
478,10504,"Blue Bell, PA: Wings Field"
479,10505,"Bambari, Central African Republic: Bambari Airport"
480,10506,"Zambezi, Zambia: Zambezi Airport"
481,10507,"Baracoa, Cuba: Gustavo Rizo"
482,10508,"Blacksburg, VA: Virginia Tech/Montgomery Executive"
483,10509,"Bear Creek, AK: Bear Creek Airport"
484,10510,"Bacolod, Philippines: Bacolod Airport"
485,10511,"Bryce Canyon, UT: Bryce Canyon Airport"
486,10512,"Baucau, Timor-Leste: Cakung"
487,10513,"Barcaldine, Australia: Barcaldine Airport"
488,10514,"Crestone, CO: Baca Grande"
489,10515,"Barra del Colorado, Costa Rica: Barra del Colorado Airport"
490,10516,"Bacau, Romania: George Enescu Bacau International"
491,10517,"Barcelona, Spain: Barcelona-El Prat"
492,10518,"Belle Chasse, LA: Southern Seaplane"
493,10519,"Boca Raton, FL: Boca Raton Public"
494,10520,"Bulchi, Ethiopia: Bulchi Airport"
495,10521,"Hamilton, Bermuda: L. F. Wade International"
496,10522,"Bundaberg, Australia: Bundaberg Airport"
497,10523,"Baudette, MN: Baudette International"
498,10524,"Blanding, UT: Blanding Municipal"
499,10525,"Bandar Lengeh, Iran: Bandar Lengeh Airport"
500,10526,"Bird Island, Seychelles: Bird Island Airport"
501,10527,"Bandjarmasin, Indonesia: Syamsudin Noor"
502,10528,"Bondoukou, Cote d'Ivoire: Bondoukou/Soko"
503,10529,"Hartford, CT: Bradley International"
504,10530,"Bandirma, Turkey: Bandirma Airport"
505,10531,"Badin, Pakistan: Talhar"
506,10532,"Bandung, Indonesia: Husein Sastranegara"
507,10533,"Bhadrapur/Chandragadhi, Nepal: Chandragadhi"
508,10534,"Vadodara, India: Vadodara Airport"
509,10535,"Bridgeport, CT: Igor I Sikorsky Memorial"
510,10536,"Brindisi, Italy: Casale"
511,10537,"Bardufoss, Norway: Bardufoss Airport"
512,10538,"Bandon, OR: Bandon State"
513,10539,"Benbecula, United Kingdom: Benbecula Airport"
514,10540,"Bedford, MA: Laurence G Hanscom Field"
